province,city
黑龙江省,七台河
海南省,万宁
四川省,万源
海南省,三亚
福建省,三明
广东省,三水
河北省,三河
河南省,三门峡
上海市,上海
浙江省,上虞
江西省,上饶
广西,东兴
江苏省,东台
海南省,东方
辽宁省,东港
内蒙,东胜
广东省,东莞
山东省,东营
浙江省,东阳
浙江省,丽水
云南省,个旧
广东省,中山
河北省,丰南
江西省,丰城
内蒙,丰镇
甘肃省,临夏
浙江省,临安
江西省,临川
吉林省,临江
山西省,临汾
山东省,临沂
内蒙,临河
浙江省,临海
山东省,临清
湖南省,临湘
浙江省,义乌
河南省,义马
辽宁省,丹东
湖北省,丹江口
江苏省,丹阳
内蒙,乌兰浩特
内蒙,乌海
新疆,乌苏
新疆,乌鲁木齐
四川省,乐山
江西省,乐平
广东省,乐昌
浙江省,乐清
山东省,乐陵
吉林省,九台
江西省,九江
山东省,乳山
内蒙,二连浩特
广东省,云浮
黑龙江省,五大连池
黑龙江省,五常
江西省,井冈山
安徽省,亳州
四川省,什邡
贵州省,仁怀
山西省,介休
广东省,从化
湖北省,仙桃
江苏省,仪征
河北省,任丘
新疆,伊宁
黑龙江省,伊春
浙江省,余姚
浙江省,余杭
广东省,佛山
黑龙江省,佳木斯
山西省,侯马
河北省,保定
云南省,保山
广东省,信宜
河南省,信阳
河南省,偃师
海南省,儋州
新疆,克拉玛依
山东省,兖州
吉林省,公主岭
安徽省,六安
贵州省,六盘水
甘肃省,兰州
浙江省,兰溪
贵州省,兴义
江苏省,兴化
辽宁省,兴城
广东省,兴宁
陕西省,兴平
河北省,冀州
四川省,内江
湖南省,冷水江
辽宁省,凌海
辽宁省,凌源
辽宁省,凤城
广西,凭祥
贵州省,凯里
湖北省,利川
内蒙,包头
广东省,化州
北京市,北京
辽宁省,北宁
黑龙江省,北安
广西,北流
辽宁省,北票
湖北省,十堰
四川省,华蓥
陕西省,华阴
江苏省,南京
四川省,南充
广西,南宁
福建省,南安
河北省,南宫
重庆市,南川
福建省,南平
江西省,南康
江西省,南昌
广东省,南海
江苏省,南通
河南省,南阳
广东省,南雄
新疆,博乐
河南省,卫辉
山东省,即墨
山西省,原平
福建省,厦门
黑龙江省,双城
吉林省,双辽
黑龙江省,双鸭山
山西省,古交
江苏省,句容
广东省,台山
浙江省,台州
甘肃省,合作
广西,合山
重庆市,合川
安徽省,合肥
江西省,吉安
吉林省,吉林
湖南省,吉首
黑龙江省,同江
新疆,吐鲁番
江苏省,启东
江苏省,吴县
广东省,吴川
宁夏,吴忠
江苏省,吴江
河南省,周口
内蒙,呼和浩特
新疆,和田
吉林省,和龙
湖北省,咸宁
陕西省,咸阳
新疆,哈密
黑龙江省,哈尔滨
河北省,唐山
河南省,商丘
陕西省,商州
新疆,喀什
浙江省,嘉兴
甘肃省,嘉峪关
广东省,四会
吉林省,四平
吉林省,图们
新疆,塔城
广东省,增城
江苏省,大丰
湖北省,大冶
山西省,大同
吉林省,大安
黑龙江省,大庆
云南省,大理
辽宁省,大石桥
辽宁省,大连
甘肃省,天水
天津市,天津
安徽省,天长
湖北省,天门
江苏省,太仓
山西省,太原
浙江省,奉化
新疆,奎屯
江苏省,如皋
江苏省,姜堰
山东省,威海
山西省,孝义
湖北省,孝感
河南省,孟州
安徽省,宁国
黑龙江省,宁安
福建省,宁德
浙江省,宁波
山东省,安丘
河北省,安国
云南省,安宁
安徽省,安庆
陕西省,安康
黑龙江省,安达
河南省,安阳
湖北省,安陆
贵州省,安顺
河北省,定州
江苏省,宜兴
湖北省,宜城
四川省,宜宾
广西,宜州
湖北省,宜昌
江西省,宜春
陕西省,宝鸡
云南省,宣威
安徽省,宣州
安徽省,宿州
江苏省,宿迁
黑龙江省,密山
黑龙江省,富锦
浙江省,富阳
山东省,寿光
黑龙江省,尚志
广西,岑溪
湖南省,岳阳
四川省,峨眉山
四川省,崇州
浙江省,嵊州
安徽省,巢湖
河南省,巩义
四川省,巴中
湖南省,常宁
江苏省,常州
湖南省,常德
江苏省,常熟
甘肃省,平凉
山东省,平度
浙江省,平湖
河南省,平顶山
四川省,广元
广东省,广州
湖北省,广水
四川省,广汉
辽宁省,庄河
