origin_id,country
502,美国
110,香港
304,德国
116,日本
601,澳大利亚
143,台湾省
113,伊朗
133,韩国
331,瑞士
307,意大利
327,波兰
132,新加坡
111,印度
136,泰国
312,西班牙
305,法国
302,丹麦
122,马来西亚
501,加拿大
137,土耳其
129,菲律宾
429,墨西哥
344,俄罗斯联邦
609,新西兰
410,巴西
326,挪威
138,阿拉伯联合酋长国
301,比利时
309,荷兰
341,哈萨克斯坦
347,乌克兰
130,卡塔尔
127,巴基斯坦
416,古巴
402,阿根廷
408,玻利维亚
328,罗马尼亚
303,英国
311,葡萄牙
330,瑞典
412,智利
434,秘鲁
115,以色列
131,沙特阿拉伯
445,委内瑞拉
607,新喀里多尼亚
318,芬兰
112,印度尼西亚
244,南非
315,奥地利
232,摩洛哥
124,蒙古
126,阿曼
106,缅甸
142,中华人民共和国
423,危地马拉
134,斯里兰卡
108,塞浦路斯
117,约旦
444,乌拉圭
413,哥伦比亚
141,越南
223,科特迪瓦共和国
352,捷克共和国
417,库腊索岛
418,多米尼加共和国
432,巴拿马
103,孟加拉国
419,厄瓜多尔
435,波多黎各
310,希腊
118,科威特
215,埃及
316,保加利亚
120,黎巴嫩
324,马耳他
320,直布罗陀
249,突尼斯
252,扎伊尔
231,毛里求斯
207,加那利群岛
139,也门共和国
109,朝鲜
442,特立尼达和多巴哥
135,叙利亚
221,几内亚
348,乌兹别克斯坦
121,澳门
107,柬埔寨
203,贝宁
350,斯洛文尼亚共和国
306,爱尔兰
334,爱沙尼亚
351,克罗地亚共和国
313,阿尔巴尼亚
354,前南斯拉夫马其顿共和国
206,喀麦隆
349,南斯拉夫联盟共和国
353,斯洛伐克共和国
250,乌干达
308,卢森堡
251,布基纳法索
321,匈牙利
125,尼泊尔
431,尼加拉瓜
248,多哥
233,莫桑比克
220,加纳
204,博茨瓦那
236,尼日利亚
415,哥斯达黎加
102,巴林
230,毛里塔尼亚
611,巴布亚新几内亚
247,坦桑尼亚
246,苏丹
254,津巴布韦
224,肯尼亚
617,萨摩亚
613,所罗门群岛
441,苏里南
128,巴勒斯坦
201,阿尔及利亚
202,安哥拉
422,瓜德罗普岛
218,加蓬
336,立陶宛
426,洪都拉斯
440,萨尔瓦多
213,刚果
433,巴拉圭
119,老挝
339,阿塞拜疆
227,马达加斯加
427,牙买加
322,冰岛
114,伊拉克
414,多米尼加
610,诺福克岛
335,拉脱维亚
214,吉布提
225,利比里亚
240,塞内加尔
123,马尔代夫
428,马提尼克岛
234,纳米比亚
237,留尼汪
424,圭亚那
216,赤道几内亚
343,摩尔多瓦
219,冈比亚
242,塞拉利昂
406,伯利兹
255,莱索托
338,亚美尼亚
699,大洋洲其他国家（地区）
503,格陵兰
253,赞比亚
229,马里
217,埃塞俄比亚
608,瓦努阿图
345,塔吉克斯坦
342,吉尔吉斯
205,布隆迪
105,文莱
340,白俄罗斯
226,利比亚
701,国别（地区）不详
403,阿鲁巴岛
614,汤加
235,尼日尔
425,海地
603,斐济
228,马拉维
401,安提瓜和巴布达
405,巴巴多斯
325,摩纳哥
404,巴哈马
439,圣文森特和格林纳丁斯
208,佛得角
612,社会群岛
438,圣马丁岛
323,列支敦士登
337,格鲁吉亚
622,贝劳共和国
257,斯威士兰
258,厄立特里亚
101,阿富汗
243,索马里
256,梅利利亚
621,马绍尔群岛共和国
437,圣卢西亚
238,卢旺达
212,科摩罗
618,基里巴斯
447,圣其茨--尼维斯
504,百慕大群岛
241,塞舌尔
355,波斯尼亚　黑塞哥维那共和国
602,库克群岛
239,圣多美和普林西比
346,土库曼斯坦
421,格林纳达
620,密克罗尼西亚联邦
499,拉丁美洲其他国家（地区）
443,特克斯和凯科斯群岛
299,非洲其他国家（地区）
411,开曼群岛
420,法属圭亚那
222,几内亚(比绍)
209,中非
329,圣马力诺
199,亚洲其他国家（地区）
606,瑙鲁
210,塞卜泰(休达)
245,西撒哈拉
314,安道尔
446,英属维尔京群岛
616,土布艾群岛
211,乍得
430,蒙特塞拉特
599,北美洲其他国家（地区）
104,不丹
436,萨巴
604,盖比群岛
615,土阿莫土群岛
605,马克萨斯群岛
623,法属波利尼西亚
144,东帝汶
449,荷属安地列斯群岛
356,梵蒂冈城国
619,图瓦卢
259,马约特岛
NA,
625,瓦利斯和浮图纳
409,博内尔
448,圣皮埃尔和密克隆
146,吉尔吉斯斯坦
